시군구,동리,단지코드,단지명,단지분류,도로명주소,분양형태,사용승인일,동수,세대수,분양세대수,임대세대수,관리방식,난방방식,복도유형
양천구,목동,A15881701,목동금강에스쁘아,아파트,서울특별시 양천구 목동중앙본로 15,분양,20020813,1,153,153,0,위탁관리,지역난방,계단식
영등포구,양평동4가,A15086601,양평경남2차아너스빌,아파트,서울특별시 영등포구 양평로17길 9,분양,20000311,1,198,198,0,위탁관리,개별난방,복도식
강남구,청담동,A13510202,청담2차현대아파트,아파트,서울특별시 강남구 선릉로 748,분양,19880530,2,214,214,0,위탁관리,지역난방,계단식
서초구,방배동,A13784401,방배브라운가,아파트,서울특별시 서초구 방배로19길 67,분양,20060526,2,161,161,0,위탁관리,개별난방,계단식
서초구,잠원동,A13790703,잠원신화,아파트,서울특별시 서초구 잠원로14길 54,분양,19971001,1,166,166,0,위탁관리,개별난방,혼합식
동대문구,답십리동,A13003007,래미안위브,아파트,서울특별시 동대문구 답십리로 130,혼합,20141013,32,2652,2199,453,위탁관리,개별난방,혼합식
강남구,도곡동,A13527013,개포4차우성,아파트,서울특별시 강남구 언주로 117,분양,19851226,8,459,459,0,위탁관리,지역난방,혼합식
강서구,가양동,A15780703,가양대림경동,아파트,서울특별시 강서구 허준로 121,분양,19930917,6,540,540,0,위탁관리,지역난방,계단식
강동구,명일동,A10025415,래미안솔베뉴,아파트,서울특별시 강동구 양재대로 1650,혼합,20190624,13,1900,1744,156,위탁관리,개별난방,계단식
영등포구,신길동,A10025562,신길센트럴아이파크,아파트,서울특별시 영등포구 가마산로 426,혼합,20190228,6,612,501,111,위탁관리,개별난방,혼합식
송파구,오금동,A10026249,송파레미니스2단지,아파트,서울특별시 송파구 동남로 341,혼합,20180605,7,818,238,580,위탁관리,개별난방,계단식
종로구,무악동,A11081302,인왕산아이파크,아파트,서울특별시 종로구 통일로18길 9,분양,20080725,17,810,810,0,위탁관리,개별난방,계단식
은평구,수색동,A12209001,DMC청구아파트,아파트,서울특별시 은평구 증산로1길 26,분양,20000316,3,196,196,0,위탁관리,개별난방,계단식
은평구,대조동,A12284501,삼성타운아파트,아파트,서울특별시 은평구 서오릉로 94,분양,19971104,2,357,357,0,위탁관리,개별난방,혼합식
동대문구,휘경동,A13009206,휘경동일스위트리버,아파트,서울특별시 동대문구 한천로 300,분양,20070518,9,454,454,0,위탁관리,개별난방,계단식
중랑구,상봉동,A13122104,상봉태영데시앙,아파트,서울특별시 중랑구 상봉중앙로8길 104,분양,20030805,11,582,582,0,위탁관리,개별난방,계단식
중랑구,신내동,A13176901,신내6단지,아파트,서울특별시 중랑구 신내로19길 42,분양,19960313,16,1609,1609,0,위탁관리,지역난방,복도식
중랑구,신내동,A13186504,신내영풍마드레빌,아파트,서울특별시 중랑구 용마산로129가길 41,분양,20040213,5,260,260,0,위탁관리,개별난방,계단식
중랑구,신내동,A13187201,신내8단지두산화성,아파트,서울특별시 중랑구 신내로 155,분양,19951222,8,763,763,0,위탁관리,지역난방,혼합식
중랑구,신내동,A13187203,신내진로아파트,아파트,"서울특별시 중랑구 신내로17길 41,서울특별시 중랑구 신내로17길 39",분양,19951206,17,818,818,0,위탁관리,지역난방,계단식
도봉구,창동,A13204406,창동쌍용,아파트,서울특별시 도봉구 마들로 551,분양,19970228,15,1352,1352,0,위탁관리,지역난방,계단식
도봉구,방학동,A13285305,방학거성학마을,아파트,서울특별시 도봉구 도당로 116,분양,19941213,3,347,347,0,위탁관리,개별난방,계단식
도봉구,창동,A13290003,창동동아,아파트,서울특별시 도봉구 노해로70길 12,분양,19881229,6,600,600,0,위탁관리,지역난방,계단식
성동구,옥수동,A13310004,옥수극동,아파트,서울특별시 성동구 독서당로 191,분양,19861224,8,900,900,0,위탁관리,중앙난방,혼합식
강동구,길동,A13480803,길동현대아파트,아파트,서울특별시 강동구 천호대로 1231,분양,19960809,2,264,264,0,위탁관리,개별난방,혼합식
강남구,수서동,A13522003,수서삼익,아파트,서울특별시 강남구 광평로51길 27,분양,19921028,5,645,645,0,위탁관리,지역난방,복도식
강남구,대치동,A13528105,개포1차2차우성,아파트,서울특별시 강남구 선릉로 120,분양,19831217,14,1140,1140,0,위탁관리,중앙난방,계단식
강남구,개포동,A13580002,개포우성8차,아파트,서울특별시 강남구 개포로 411,분양,19870921,3,261,261,0,위탁관리,지역난방,혼합식
강남구,대치동,A13583403,대치우성1차아파트,아파트,서울특별시 강남구 영동대로 230,분양,19840127,6,476,476,0,위탁관리,지역난방,계단식
강남구,대치동,A13583404,쌍용대치1차,아파트,서울특별시 강남구 영동대로 210,분양,19830307,5,630,630,0,위탁관리,지역난방,계단식
강남구,대치동,A13583701,대치현대,아파트,서울특별시 강남구 삼성로64길 5,분양,19990614,8,630,630,0,위탁관리,지역난방,혼합식
강남구,개포동,A13594007,대청,아파트,서울특별시 강남구 개포로109길 21,분양,19921014,6,822,822,0,위탁관리,지역난방,복도식
강남구,개포동,A13599402,개포주공5단지,아파트,서울특별시 강남구 삼성로4길 17,분양,19831026,6,940,940,0,위탁관리,지역난방,복도식
성북구,길음동,A13611006,이편한세상 길음뉴타운4단지,아파트,서울특별시 성북구 길음로 118,분양,20050420,25,1605,1605,0,위탁관리,개별난방,혼합식
서초구,서초동,A13788002,"서초현대1,2차",아파트,"서울특별시 서초구 효령로72길 14,서울특별시 서초구 효령로68길 13",분양,19891218,5,413,413,0,위탁관리,지역난방,혼합식
송파구,신천동,A13824003,한신코아,주상복합,서울특별시 송파구 올림픽로35가길 11,분양,19881230,1,493,493,0,위탁관리,중앙난방,복도식
송파구,가락동,A13880806,가락쌍용1차,아파트,서울특별시 송파구 동남로 193,분양,19970320,14,2064,2064,0,위탁관리,중앙난방,계단식
노원구,중계동,A13986504,중계무지개아파트,아파트,"서울특별시 노원구 동일로208길 20,서울특별시 노원구 동일로208길 19",분양,19911115,14,2433,2433,0,위탁관리,지역난방,복도식
노원구,하계동,A13987303,하계현대우성,아파트,서울특별시 노원구 섬밭로 232,분양,19880929,12,1320,1320,0,위탁관리,중앙난방,계단식
노원구,월계동,A13991016,월계동원베네스트,아파트,서울특별시 노원구 월계로53길 21,분양,20050331,5,205,205,0,위탁관리,개별난방,계단식
강북구,번동,A14206301,번동동문아파트,아파트,서울특별시 강북구 오현로 128,분양,19980814,3,167,167,0,위탁관리,개별난방,계단식
광진구,자양동,A14319012,자양더샵스타시티,아파트,서울특별시 광진구 아차산로 262,분양,20070122,4,1310,1310,0,위탁관리,개별난방,복도식
광진구,자양동,A14319303,자양현대홈타운10차,아파트,서울특별시 광진구 뚝섬로34길 25-19,분양,20021030,6,245,245,0,위탁관리,개별난방,계단식
광진구,광장동,A14381415,광장현대3단지아파트,아파트,서울특별시 광진구 아차산로70길 62,분양,19901020,10,1056,1056,0,위탁관리,개별난방,혼합식
광진구,광장동,A14381512,광장현대5단지,아파트,서울특별시 광진구 아차산로70길 61,분양,19890421,6,581,581,0,위탁관리,개별난방,혼합식
광진구,구의동,A14382101,구의삼성쉐르빌,주상복합,서울특별시 광진구 구의강변로 106,분양,20011110,1,252,252,0,위탁관리,개별난방,복도식
