단지코드,시도,동수,관리비부과면적,주거전용면적(단지합계),주거전용면적(세부),세대수
A10023348,서울특별시,35,347743.75,263523.44,39.945,168
A10023348,서울특별시,35,347743.75,263523.44,45.8769,108
A10023348,서울특별시,35,347743.75,263523.44,49.9528,48
A10023348,서울특별시,35,347743.75,263523.44,59.8363,119
A10023348,서울특별시,35,347743.75,263523.44,59.9125,18
A10023348,서울특별시,35,347743.75,263523.44,59.9751,607
A10023348,서울특별시,35,347743.75,263523.44,78.3265,48
A10023348,서울특별시,35,347743.75,263523.44,78.7295,15
A10023348,서울특별시,35,347743.75,263523.44,78.7747,343
A10023348,서울특별시,35,347743.75,263523.44,84.5978,1294
A10023348,서울특별시,35,347743.75,263523.44,84.7509,144
A10023348,서울특별시,35,347743.75,263523.44,84.8208,4
A10023348,서울특별시,35,347743.75,263523.44,102.5776,104
A10023348,서울특별시,35,347743.75,263523.44,102.7636,88
A10023348,서울특별시,35,347743.75,263523.44,109.8841,50
A10023348,서울특별시,35,347743.75,263523.44,114.189,10
A10023348,서울특별시,35,347743.75,263523.44,114.8054,33
A10023348,서울특별시,35,347743.75,263523.44,114.8148,51
A10023348,서울특별시,35,347743.75,263523.44,114.9973,87
A10023348,서울특별시,35,347743.75,263523.44,132.8195,34
A10023348,서울특별시,35,347743.75,263523.44,185.4909,2
A10023565,서울특별시,8,22637.1,20203.8,54.98,20
A10023565,서울특별시,8,22637.1,20203.8,67.28,70
A10023565,서울특별시,8,22637.1,20203.8,79.97,180
A10023996,서울특별시,2,31173.582,24877.834,105.8064,69
A10023996,서울특별시,2,31173.582,24877.834,105.8244,15
A10023996,서울특별시,2,31173.582,24877.834,107.1324,15
A10023996,서울특별시,2,31173.582,24877.834,108.0923,73
A10023996,서울특별시,2,31173.582,24877.834,108.2017,60
A10024564,서울특별시,31,244894.45,178215.3,49.92,118
A10024564,서울특별시,31,244894.45,178215.3,59.92,713
A10024564,서울특별시,31,244894.45,178215.3,59.96,69
A10024564,서울특별시,31,244894.45,178215.3,74.66,226
A10024564,서울특별시,31,244894.45,178215.3,84.59,30
A10024564,서울특별시,31,244894.45,178215.3,84.83,266
A10024564,서울특별시,31,244894.45,178215.3,84.86,348
A10024564,서울특별시,31,244894.45,178215.3,84.9,35
A10024564,서울특별시,31,244894.45,178215.3,96.91,100
A10024564,서울특별시,31,244894.45,178215.3,96.93,99
A10024564,서울특별시,31,244894.45,178215.3,102.32,161
A10024564,서울특별시,31,244894.45,178215.3,102.41,31
A10024564,서울특별시,31,244894.45,178215.3,112.73,34
A10024564,서울특별시,31,244894.45,178215.3,112.97,33
A10024564,서울특별시,31,244894.45,178215.3,136.06,33
A10025203,서울특별시,23,142115.88,104223.56,49.4013,108
A10025203,서울특별시,23,142115.88,104223.56,59.7479,157
A10025203,서울특별시,23,142115.88,104223.56,59.8072,46
A10025203,서울특별시,23,142115.88,104223.56,59.8732,115
A10025203,서울특별시,23,142115.88,104223.56,76.1709,152
A10025203,서울특별시,23,142115.88,104223.56,82.8322,1
A10025203,서울특별시,23,142115.88,104223.56,84.3558,270
A10025203,서울특별시,23,142115.88,104223.56,84.357,103
A10025203,서울특별시,23,142115.88,104223.56,84.6348,103
A10025203,서울특별시,23,142115.88,104223.56,86.6002,1
A10025203,서울특별시,23,142115.88,104223.56,89.157,1
A10025203,서울특별시,23,142115.88,104223.56,89.7348,1
A10025203,서울특별시,23,142115.88,104223.56,91.775,1
A10025203,서울특별시,23,142115.88,104223.56,94.2875,32
A10025203,서울특별시,23,142115.88,104223.56,94.8407,63
A10025203,서울특별시,23,142115.88,104223.56,99.828,1
A10025203,서울특별시,23,142115.88,104223.56,105.5219,1
A10025203,서울특별시,23,142115.88,104223.56,106.6695,32
A10025203,서울특별시,23,142115.88,104223.56,106.9101,32
A10025203,서울특별시,23,142115.88,104223.56,106.9845,31
A10025203,서울특별시,23,142115.88,104223.56,106.9877,31
A10025203,서울특별시,23,142115.88,104223.56,109.9623,1
A10025203,서울특별시,23,142115.88,104223.56,124.2439,1
A10025203,서울특별시,23,142115.88,104223.56,130.0253,1
A10025203,서울특별시,23,142115.88,104223.56,131.3226,31
A10025203,서울특별시,23,142115.88,104223.56,136.9968,2
A10025203,서울특별시,23,142115.88,104223.56,148.2668,2
A10025675,서울특별시,23,215906.78,160922.33,49.909,133
A10025675,서울특별시,23,215906.78,160922.33,59.837,64
A10025675,서울특별시,23,215906.78,160922.33,59.888,154
A10025675,서울특별시,23,215906.78,160922.33,59.897,78
A10025675,서울특별시,23,215906.78,160922.33,59.967,232
A10025675,서울특별시,23,215906.78,160922.33,84.794,14
A10025675,서울특별시,23,215906.78,160922.33,84.94,262
A10025675,서울특별시,23,215906.78,160922.33,84.943,382
A10025675,서울특별시,23,215906.78,160922.33,84.95,122
A10025675,서울특별시,23,215906.78,160922.33,99.919,119
A10025675,서울특별시,23,215906.78,160922.33,99.967,63
A10025675,서울특별시,23,215906.78,160922.33,99.979,30
A10025675,서울특별시,23,215906.78,160922.33,99.991,67
A10025675,서울특별시,23,215906.78,160922.33,113.732,33
A10025675,서울특별시,23,215906.78,160922.33,113.808,35
A10025675,서울특별시,23,215906.78,160922.33,113.96,64
A10025675,서울특별시,23,215906.78,160922.33,126.928,85
A10025675,서울특별시,23,215906.78,160922.33,126.971,15
A10025675,서울특별시,23,215906.78,160922.33,141.76,3
A10025675,서울특별시,23,215906.78,160922.33,175.899,1
