단지코드,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
A10020550,130,5,미설치,설치,0,3,,입주민전용,시 분,12시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|나이스|,0,3,없음
A10020888,107,1,미설치,설치,0,1,,입주민전용,시 분,24시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|1|지에스차지비|,0,1,있음
A10023322,29,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A10023788,101,3,설치,설치,2,8,외부인허용,외부인허용,0시 1분,0시 1분,23시 59분,23시 59분,"◆1◆|지상|이동형충전기|AC단상 5핀|완속|1|홈앤스비스(주)|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|4|에스트레픽(주)|,◆3◆|지하|이동형충전기|AC단상 5핀|완속|2|홈엔서비스(주)|",1,6,없음
A10023815,166,0,미설치,설치,0,4,,외부인허용,시 분,0시 0분,시 분,0시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|2|(주)에버온|,◆2◆|지하|스탠드형충전기|AC단상 5핀|급속|2|(주)에버온|",0,4,없음
A10023891,360,7,미설치,설치,0,7,,,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|7|이카플러그|,0,7,있음
A10024034,179,6,미설치,설치,0,6,,외부인허용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|6|파워큐전기차충전서비|,0,6,없음
A10024237,47,0,미설치,미설치,0,0,입주민전용,입주민전용,시 분,시 분,시 분,시 분,,,,없음
A10024327,142,2,미설치,설치,0,0,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|3|에스트래픽|,0,3,없음
A10024359,70,1,미설치,설치,0,2,,입주민전용,시 분,0시 0분,시 분,24시 0분,◆1◆|지하|스탠드형충전기|직접입력|완속|2|직접운영|,0,2,없음
A10024398,1874,10,미설치,설치,0,41,입주민전용,입주민전용,시 분,23시 50분,시 분,23시 50분,◆1◆|지하|벽부형충전기|직접입력|완속|41|나이스차저|,0,41,없음
A10024408,398,29,미설치,설치,0,36,,입주민전용,시 분,1시 1분,시 분,24시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|29|스타코프|,0,29,있음
A10024410,170,4,미설치,설치,0,10,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|완속|2|시그넷이브이|,◆2◆|지하|스탠드형충전기|직접입력|급속|1|시그넷이브이|",0,3,없음
A10024421,824,4,미설치,설치,0,6,,입주민전용,시 분,24시 1분,시 분,24시 1분,"◆1◆|지하|스탠드형충전기|AC3상 7핀|급속|1|중앙제어(주)|,◆2◆|지하|벽부형충전기|AC3상 7핀|완속|5|중앙제어(주)|",0,6,있음
A10024422,780,8,미설치,설치,0,31,,입주민전용,시 분,1시 1분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|급속|31|차지비|,0,31,없음
A10024436,34,0,미설치,설치,0,7,,외부인허용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|AC3상 7핀|급속|2|사용 안함(입주민 전용)|,◆2◆|지하|벽부형충전기|AC3상 7핀|완속|1|사용 안함(입주민 전용)|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|3|휴맥스EV|",0,6,없음
A10024443,300,9,미설치,설치,0,16,,입주민전용,시 분,0시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|16|스타코프|,0,16,없음
A10024463,103,3,미설치,설치,0,5,,입주민전용,시 분,23시 59분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|홈앤서비스 주식회사|,0,5,없음
A10024464,183,2,미설치,설치,0,2,,외부인허용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|스탠드형충전기|직접입력|완속|2|자가|,0,2,없음
A10024468,899,23,미설치,미설치,0,32,,,시 분,시 분,시 분,시 분,,,,있음
A10024470,740,5,미설치,설치,0,5,,,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|5|*|,0,5,없음
A10024473,2532,240,미설치,설치,0,133,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|83|SK|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|13|코스텔|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|48|대영채비|,◆4◆|지하|스탠드형충전기|AC단상 5핀|급속|1|대영채비|",0,145,없음
A10024488,1876,94,미설치,설치,0,44,,입주민전용,시 분,0시 1분,시 분,23시 19분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|43|㈜에버홈|,◆2◆|지하|스탠드형충전기|AC3상 7핀|급속|1|㈜에버홈|",0,44,없음
A10024490,1,7,미설치,설치,0,5,,입주민전용,시 분,23시 59분,시 분,23시 59분,◆1◆|지하|벽부형충전기|직접입력|완속|1|대영채비|,0,1,없음
A10024492,158,8,미설치,설치,0,15,,입주민전용,시 분,0시 0분,시 분,0시 0분,"◆1◆|지하|스탠드형충전기|AC3상 7핀|초급속|1|대영채비|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|2|대영채비|,◆3◆|지하|벽부형충전기|직접입력|완속|12|대영채비|",0,15,없음
A10024495,299,11,미설치,설치,0,3,,입주민전용,시 분,9시 0분,시 분,9시 0분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|급속|1|중앙제어(주)|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|1|중앙제어(주)|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|8|홈앤서비스|",0,10,있음
A10024501,100,4,미설치,설치,0,4,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|파워큐브코리아|,0,4,없음
A10024503,72,72,미설치,설치,0,37,,입주민전용,시 분,23시 59분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|급속|2|현대엔지니어링|,◆2◆|지하|스탠드형충전기|DC콤보 7핀|완속|35|현대엔지니어링|",0,37,없음
A10024505,298,7,미설치,설치,0,6,,입주민전용,,0시 0분,,23시 59분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|급속|0|신마곡벽산블루밍|,◆2◆|지하|스탠드형충전기|DC차데모 10핀|완속|6|지차저|",0,6,없음
A10024524,0,0,미설치,미설치,0,0,,,,,,,,,,없음
A10024532,3,3,미설치,설치,0,3,,입주민전용,시 분,0시 0분,시 분,23시 50분,"◆1◆|지하|벽부형충전기|AC3상 7핀|완속|3|LGu+|,◆2◆|지하|벽부형충전기|AC3상 7핀|완속|3|(주)이지차저|",0,6,없음
A10024547,28,28,미설치,설치,0,28,,입주민전용,시 분,0시 0분,시 분,23시 0분,"◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|21|에버온|,◆2◆|지하|벽부형충전기|DC콤보 7핀|완속|6|자체|,◆3◆|지하|벽부형충전기|DC콤보 7핀|급속|1|자체|",0,28,없음
