단지코드,건물구조,전기-수전용량,전기-세대전기계약방식,승강기관리-관리방식,승강기대수,총주차대수,CCTV대수,홈네트워크,부대복리시설,최고층수,지하층수
A11007001,철근콘크리트구조,2150,종합계약,위탁관리,5,315,82,무,"관리사무소, 주민공동시설",16,3
A10021295,철근콘크리트구조,1700,단일계약,위탁관리,8,458,87,유,,16,1
A10021652,철근콘크리트구조,1350,종합계약,위탁관리,0,283,158,무,,16,4
A11005401,철골철근콘크리트구조,6150,종합계약,위탁관리,21,1415,256,유,"관리사무소, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",14,4
A11034001,철근콘크리트구조,1250,단일계약,위탁관리,4,204,56,무,"관리사무소, 자전거보관소",9,3
A10020992,,,,,0,0,,,,15,0
A11041001,철골철근콘크리트구조,2000,종합계약,위탁관리,8,428,81,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",19,5
A10027162,철골철근콘크리트구조,500,종합계약,위탁관리,2,93,32,무,"관리사무소, 주민공동시설, 자전거보관소",14,3
A10023586,철골철근콘크리트구조,900,종합계약,위탁관리,4,230,126,유,"관리사무소, 커뮤니티공간, 자전거보관소, 기타",15,5
A11052201,철근콘크리트구조,1200,단일계약,위탁관리,12,438,66,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",20,3
A11076701,기타구조,650,단일계약,위탁관리,2,163,70,무,"관리사무소, 노인정, 어린이놀이터",8,2
A11054101,철근콘크리트구조,1700,단일계약,위탁관리,11,521,108,무,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터",23,2
A11054301,철근콘크리트구조,275,단일계약,위탁관리,10,306,60,무,"관리사무소, 노인정, 어린이놀이터",14,0
A11077101,철근콘크리트구조,1700,단일계약,위탁관리,17,500,126,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,0
A10021626,철골철근콘크리트구조,782,종합계약,위탁관리,4,172,52,무,"관리사무소, 노인정, 어린이놀이터",19,2
A11087601,철근콘크리트구조,3650,종합계약,위탁관리,4,286,88,무,"관리사무소, 노인정, 자전거보관소",30,4
A10024713,철골철근콘크리트구조,500,단일계약,위탁관리,2,71,16,무,관리사무소,8,1
A11087602,철근콘크리트구조,2350,단일계약,위탁관리,18,512,127,무,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",12,3
