단지코드,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,청소관리-계약업체,음식물 처리방법,소독관리-관리방식,소독관리-계약업체
A10020550,자치관리(직영),4,자치관리(직영),,,자치관리(직영),1,,음식물쓰레기종량제,위탁관리,xxx
A10020888,위탁관리,2,위탁관리,,(주)동우개발,위탁관리,2,(주)동우개발,음식물쓰레기종량제,위탁관리,태은환경
A10023322,위탁관리,1,위탁관리,2,(주)성우알티에스,위탁관리,1,,차량수거방식,위탁관리,
A10023788,위탁관리,4,자치관리(직영),2,,자치관리(직영),3,,차량수거방식,위탁관리,대양디아이
A10023815,위탁관리,3,위탁관리,2,(주)크린서비스,위탁관리,2,,음식물쓰레기종량제,위탁관리,
A10023891,위탁관리,7,위탁관리,4,웅산개발(주),위탁관리,7,서일개발(주),차량수거방식,위탁관리,비엔비클린
A10024034,자치관리,4,자치관리,2,,자치관리,3,,음식물쓰레기종량제,위탁관리,굿모닝환경
A10024237,위탁관리,2,위탁관리,2,(주)혜진종합관리,위탁관리,1,,음식물쓰레기종량제,위탁관리,
A10024327,자치관리,1,자치관리(직영),2,,자치관리,1,,음식물쓰레기종량제,자치관리,
A10024359,위탁관리,4,,,,위탁관리,3,,기타,위탁관리,
A10024398,위탁관리,15,위탁관리,11,에스원,위탁관리,16,(주)피누스이앤씨,거점장비수거방식,위탁관리,에이원한강
A10024408,위탁관리,5,위탁관리,2,(주)승학,위탁관리,5,(주)승학,거점장비수거방식,위탁관리,성산산업개발㈜
A10024410,위탁관리,5,위탁관리,2,(주)서호씨엠,위탁관리,2,(주)서호씨엠,차량수거방식,위탁관리,주식회사 서호씨엠
A10024421,위탁관리,8,위탁관리,6,대온관리,위탁관리,8,대온관리,음식물쓰레기종량제,위탁관리,굿에어테크
A10024422,위탁관리,8,위탁관리,6,(주)신현대관리,위탁관리,8,(주)국보종합관리,거점장비수거방식,위탁관리,지산아이앤씨
A10024436,위탁관리,7,위탁관리,2,우리자산관리(주),위탁관리,5,우리자산관리(주),음식물쓰레기종량제,위탁관리,굿에어테크
A10024443,위탁관리,4,위탁관리,2,(주)에스원,위탁관리,2,(주)참우리,음식물쓰레기종량제,위탁관리,굿에어테크
A10024463,위탁관리,1,자치관리(직영),2,(주)듀델코리아,자치관리(직영),1,,거점장비수거방식,위탁관리,
A10024464,위탁관리,3,위탁관리,0,,위탁관리,4,,음식물쓰레기종량제,위탁관리,
A10024468,위탁관리,12,위탁관리,7,에스원,위탁관리,12,에이제이대원,음식물쓰레기종량제,위탁관리,지산아이앤씨
A10024470,위탁관리,7,위탁관리,5,(주)유케이개발,위탁관리,7,,차량수거방식,위탁관리,
A10024473,위탁관리,16,위탁관리,12,(주)에스원,위탁관리,27,(주)듀델코리아,거점장비수거방식,위탁관리,태양지엔씨
A10024488,위탁관리,13,위탁관리,7,주식회사 에스원,위탁관리,20,㈜피누스이앤씨,음식물쓰레기종량제,위탁관리,㈜와이브이시스템
A10024490,위탁관리,5,관리방식미정,0,,위탁관리,3,주식회사 크라운티엠에스,차량수거방식,위탁관리,(주)시스템 
A10024492,위탁관리,6,위탁관리,4,(주)청담관리,위탁관리,5,(주)청담관리,음식물쓰레기종량제,위탁관리,나라개발시스템주식회사
A10024495,위탁관리,4,위탁관리,2,(주)세연종합관리,위탁관리,3,(주)세연종합관리,거점장비수거방식,위탁관리,(주)성산산업개발
A10024501,위탁관리,5,위탁관리,2,,위탁관리,4,,음식물쓰레기종량제,위탁관리,
A10024503,위탁관리,24,위탁관리,18,(주)타워피엠씨,위탁관리,13,(주)타워피엠씨,차량수거방식,위탁관리,성우서비스
A10024505,위탁관리,6,위탁관리,3,(주)듀델코리아,위탁관리,4,,거점장비수거방식,위탁관리,더자람
A10024524,위탁관리,4,관리방식미정,0,,위탁관리,1,(주)세안텍스,음식물쓰레기종량제,위탁관리,(주)세안텍스
A10024532,위탁관리,5,위탁관리,2,(주)세연종합관리,위탁관리(직영+위탁),2,(주)이오티앤디,거점장비수거방식,위탁관리,(주)동명환경
A10024547,위탁관리,9,위탁관리,7,에스원,위탁관리,13,승인산업,차량수거방식,위탁관리,(주)태은환경
A10024552,위탁관리,15,위탁관리,12,(주)에스텍시스템,위탁관리,17,(주)듀델코리아,거점장비수거방식,위탁관리,세영에이앤씨(주)
A10024562,위탁관리,7,위탁관리,3,주식회사 에이디티 캡스,위탁관리,6,동성자산관리(주),음식물쓰레기종량제,위탁관리,(주)굿에어테크
A10024564,위탁관리,23,위탁관리,25,에스텍시스템,위탁관리,39,삼우서비스(주_),거점장비수거방식,위탁관리,에이스나무병원
A10024567,위탁관리,9,위탁관리,4,(주)유케이개발,위탁관리,8,,거점장비수거방식,위탁관리,
A10024574,위탁관리,10,위탁관리,6,홈스웰,위탁관리,10,홈스웰,차량수거방식,위탁관리,블루써브
A10024577,위탁관리,6,위탁관리,5,(주)이엠피서비스,위탁관리,6,삼우안전관리,음식물쓰레기종량제,위탁관리,(주)굿에어테크
A10024615,위탁관리,13,위탁관리,10,SK쉴더스(주),위탁관리,15,,차량수거방식,위탁관리,
A10024667,위탁관리,2,위탁관리,2,...,위탁관리,2,,차량수거방식,위탁관리,
A10024691,위탁관리,16,위탁관리,24,(주)에스원,위탁관리,20,(주)밝은티에스,거점장비수거방식,위탁관리,지산아이앤씨
A10024703,위탁관리,5,위탁관리,5,에스원,위탁관리,6,이데아그룹,음식물쓰레기종량제,위탁관리,태은환경
A10024719,위탁관리,22,위탁관리,10,(주)에스원,위탁관리,14,태영건물종합관리,거점장비수거방식,위탁관리,(주)굿에어테크
A10024725,위탁관리,7,위탁관리,6,(주)씨큐원,위탁관리,11,(주)이엠피서비스,음식물쓰레기종량제,위탁관리,(유)우원티엠
A10024741,위탁관리,11,위탁관리,11,(주)에이디티캡스,위탁관리,17,,음식물쓰레기종량제,위탁관리,
A10024745,위탁관리,10,위탁관리,6,새롬시큐리티(주),위탁관리,12,,차량수거방식,위탁관리,
A10024768,위탁관리,4,관리방식미정,0,,위탁관리,2,주식회사 주나,음식물쓰레기종량제,위탁관리,주식회사 쾌청
A10024787,위탁관리,11,위탁관리,13,주식회사 에스원,위탁관리,13,주식회사 라포프,거점장비수거방식,위탁관리,(주)한빛티에스
A10024789,위탁관리,10,위탁관리,6,듀델코리아,위탁관리,10,라포르,음식물쓰레기종량제,위탁관리,지산아이엔씨
A10024793,위탁관리,2,위탁관리,4,웅산산업개발,위탁관리,1,태경종합관리(주),음식물쓰레기종량제,위탁관리,에이스시설관리(주)
A10024811,위탁관리,2,위탁관리,2,국보종합관리,자치관리,1,,차량수거방식,위탁관리,국보종합관리
A10024822,자치관리,1,자치관리,2,,자치관리,1,,음식물쓰레기종량제,위탁관리,
A10024828,위탁관리(직영+위탁),10,위탁관리,8,에스원,위탁관리,14,(주)에이치엠씨,거점장비수거방식,위탁관리,(주)피누스이엔씨
A10024831,위탁관리,17,위탁관리,16,(주)에스원,위탁관리,28,(주)라포르,음식물쓰레기종량제,위탁관리,(주)굿에어테크
A10024849,위탁관리,5,위탁관리,2,혜진종합관리,위탁관리,3,(주)홈스웰,음식물쓰레기종량제,위탁관리,대양디아이(주)
A10024886,위탁관리,5,관리방식미정,0,,자치관리,1,,음식물쓰레기종량제,위탁관리,국보종합관리
A10024891,위탁관리,9,위탁관리,7,크린서비스(주),위탁관리,7,크린서비스(주),음식물쓰레기종량제,위탁관리,(주)다인서비스
A10024894,위탁관리,6,위탁관리,4,(주)두원에이앤씨,위탁관리,6,(주)듀델코리아,차량수거방식,위탁관리,(주)와이브이시스템
A10024913,위탁관리,9,위탁관리,8,(주)에스원,위탁관리,9,(주)지엔비,거점장비수거방식,위탁관리,동부이엔피
A10024925,위탁관리,8,위탁관리,4,(주)홈스웰,위탁관리,7,(주)홈스웰,거점장비수거방식,위탁관리,(주)지산아이엔씨
A10024927,위탁관리,5,위탁관리,3,그린코리아주식회사,위탁관리,4,그린코리아주식회사,거점장비수거방식,위탁관리,(주)굿에어테크
A10024932,위탁관리,5,위탁관리,3,(주)SK쉴더스,위탁관리,5,이오티앤디,거점장비수거방식,위탁관리,(유)미래환경
A10024938,위탁관리,11,위탁관리,9,(주)에스원,위탁관리,11,(주)홈스웰,거점장비수거방식,위탁관리,(주)동진엠엔에스
A10024947,위탁관리,8,위탁관리,5,에스원,위탁관리,9,(주)홈스웰,차량수거방식,위탁관리,(주)한영방재
A10024966,위탁관리,7,위탁관리,2,,위탁관리,5,,음식물쓰레기종량제,관리방식미정,
A10024974,위탁관리,10,위탁관리,7,(주)에스원,위탁관리,17,승인산업(주),음식물쓰레기종량제,위탁관리,(주)와이브이시스템즈
A10025003,위탁관리,23,위탁관리,9,에스원(주),위탁관리,17,(주)라포르,음식물쓰레기종량제,위탁관리,(주)굿에어테크
A10025010,위탁관리,43,위탁관리,25,세이프원,위탁관리,55,신화비엠씨,거점장비수거방식,위탁관리,다인서비스
A10025013,위탁관리,9,위탁관리,6,주식회사 에스원,위탁관리,13,(주)효명종합관리,음식물쓰레기종량제,위탁관리,(주)태양씨에스
A10025015,위탁관리,4,위탁관리,4,(주)태영,위탁관리,4,(유)화이트시스템,차량수거방식,위탁관리,(주)성우서비스
A10025024,위탁관리,9,위탁관리,9,(주)듀델코리아,위탁관리,10,(주)라포르,음식물쓰레기종량제,위탁관리,(주)새롬에스앤씨
A10025070,위탁관리,12,위탁관리,12,(주)에스원,위탁관리,20,(주)피누스이앤씨,음식물쓰레기종량제,위탁관리,(주)동진엠엔에스
A10025092,위탁관리,11,위탁관리,10,한국보안컨설팅(주),위탁관리,15,효명종합관리,음식물쓰레기종량제,위탁관리,에이스나무병원(주)
A10025097,위탁관리,7,위탁관리,6,에스원,위탁관리,12,주식회사 다우시스템,거점장비수거방식,위탁관리,태은환경
A10025104,위탁관리,15,위탁관리,9,(주)에스원,위탁관리,21,(주)두원에이앤씨,음식물쓰레기종량제,위탁관리,(주)한영방제
A10025112,위탁관리,22,위탁관리,13,(주)에스텍시스템,위탁관리,25,(주)라포르,음식물쓰레기종량제,위탁관리,(주)동진엠엔에스
A10025115,위탁관리,5,위탁관리,4,승학(주),위탁관리,4,주)시티관리,음식물쓰레기종량제,위탁관리,주)그린피아한성
A10025116,위탁관리,6,위탁관리,4,(주)듀델코리아,위탁관리,4,(주)듀델코리아,음식물쓰레기종량제,위탁관리,(주)휘성
A10025122,위탁관리,8,위탁관리,2,(주)듀델코리아,위탁관리,2,,거점장비수거방식,위탁관리,
A10025130,위탁관리,10,위탁관리,8,(주)이엠피서비스,위탁관리,12,삼우서비스,차량수거방식,위탁관리,(주)한영방제
A10025133,위탁관리,7,위탁관리,7,(주)에스텍시스템,위탁관리,9,,거점장비수거방식,위탁관리,
A10025137,위탁관리(직영+위탁),3,위탁관리(직영+위탁),2,태영건물종합관리주식회사,위탁관리(직영+위탁),1,태영건물종합관리주식회사,차량수거방식,위탁관리,굿에어테크
A10025157,위탁관리,2,위탁관리,2,(주)무림하우징,위탁관리,1,믿음환경,음식물쓰레기종량제,위탁관리,(주)우양)
A10025159,위탁관리,5,위탁관리,4,주식회사 에스원,위탁관리,6,진성관리,음식물쓰레기종량제,위탁관리,굿에어테크
A10025166,위탁관리,6,위탁관리,4,(주)듀델코리아,위탁관리,5,듀델,거점장비수거방식,위탁관리,태강티엠에스
A10025174,위탁관리,6,위탁관리,3,세원종합관리,위탁관리,5,,차량수거방식,위탁관리,
