단지코드,발생년월(YYYYMM),개별사용료계,난방비(공용),난방비(전용),급탕비(공용),급탕비(전용),가스사용료(공용),가스사용료(전용),전기료(공용),전기료(전용),수도료(공용),수도료(전용),TV수신료,정화조오물수수료,생활폐기물수수료,입대의운영비,건물보험료,선관위운영비,기타
A10021295,202601,18721144,0,0,0,0,0,0,3457180,11231210,0,2483720,275000,0,336000,46880,891153,0,0
A10021295,202602,20021356,0,0,0,0,0,0,4344493,11304930,0,2541620,275000,0,336000,328160,891153,0,0
A10021295,202603,14501866,0,0,0,0,0,0,1584093,9046020,0,2320220,277500,0,336000,46880,891153,0,0
A10021295,202604,15666583,0,0,0,0,0,0,1580190,9559150,0,2571140,277500,0,336000,451450,891153,0,0
A10021295,202605,14353277,0,0,0,0,0,0,2210072,8052550,0,2541620,275000,0,336000,46880,891155,0,0
A10021652,202601,21850120,0,0,0,0,0,0,16203800,0,3023570,0,0,0,336000,1608610,678140,0,0
A10021652,202602,21909000,0,0,0,0,0,0,16726490,0,2906180,0,0,0,504000,1094190,678140,0,0
A10021652,202603,17849590,0,0,0,0,0,0,12910130,0,2659530,0,0,0,504000,1097790,678140,0,0
A10021652,202604,18879430,0,0,0,0,0,0,13352570,0,3075920,0,0,0,672000,1100800,678140,0,0
A10021652,202605,18016680,0,0,0,0,0,0,12617140,0,2953870,0,0,0,672000,1095530,678140,0,0
A10021652,202606,20938870,0,0,0,0,0,0,14822660,0,3128250,0,0,0,672000,1637820,678140,0,0
A11007001,202601,25001340,0,0,0,0,0,0,6126979,13058710,47190,2872610,342500,0,336000,1600000,617350,0,0
A11007001,202602,26364540,0,0,0,0,0,0,6890119,13239210,77590,3043770,342500,0,504000,1650000,617350,0,0
A11007001,202603,21300620,0,0,0,0,0,0,4631920,10439180,92690,2699200,337500,378780,504000,1600000,617350,0,0
A11007001,202604,22361604,0,0,0,0,0,0,4910375,10979540,56890,2974670,340000,378780,504000,1600000,617350,0,0
A11007001,202605,20705510,0,0,0,0,0,0,4314750,10082190,47350,2873590,337500,378780,504000,1550000,617350,0,0
A11007001,202606,24517904,0,0,0,0,0,0,3952505,14179750,62630,3114000,340000,378780,336000,1600000,554240,0,0
A11005401,202601,118495800,0,0,0,0,0,0,36698132,57854152,1316680,14043490,1642500,1250000,798670,2014680,2598900,278600,0
A11005401,202602,94275600,0,0,0,0,0,0,25327768,46113528,911450,14637810,1642500,1250000,765340,900000,2598900,128300,0
A11005401,202603,95511480,0,0,0,0,0,0,22680928,50507584,944420,13152570,1642500,1250000,771380,1963200,2598900,0,0
A11005401,202604,89833344,0,0,0,0,0,0,19921832,45806928,1184890,14592870,1642500,1250000,772320,1732300,2598900,330800,0
A11005401,202605,97662072,0,0,0,0,0,0,21199824,52151480,1735320,14111670,1635000,1250000,877410,1765140,2598900,337330,0
A11005401,202606,115334600,0,0,0,0,0,0,22436424,67733152,1323500,14872500,1635000,1250000,932330,1736100,2598900,816700,0
A11034001,202601,16231030,0,0,0,0,0,0,2357130,8829010,314420,2730710,377500,184420,0,650000,787840,0,0
A11034001,202602,16659680,0,0,0,0,0,0,2364070,9394630,87260,2816460,375000,184420,0,650000,787840,0,0
A11034001,202603,13753280,0,0,0,0,0,0,1203360,7690110,308380,2551670,377500,184420,0,650000,787840,0,0
A11034001,202604,14894890,0,0,0,0,0,0,1745620,7702190,220850,2906570,370000,184420,269540,656900,787840,50960,0
A11034001,202605,14918320,0,0,0,0,0,0,1269610,7705800,120330,3006880,375000,184420,269540,798900,787840,400000,0
A11034001,202606,17490510,0,0,0,0,0,0,1200070,10681820,135700,3029220,385000,184420,269540,816900,787840,0,0
A10020992,202601,8801093,0,0,0,0,0,0,1197570,6979770,0,0,287500,0,0,250000,86253,0,0
A10020992,202602,14120973,0,0,0,0,0,0,1307590,8426810,-70,3762890,287500,0,0,250000,86253,0,0
A10020992,202603,9811893,0,0,0,0,0,0,1411490,7781650,0,0,282500,0,0,250000,86253,0,0
A10020992,202604,11271747,0,0,0,0,0,0,1066140,5736170,-10,3853190,280000,0,0,250000,86257,0,0
A10020992,202605,7630323,0,0,0,0,0,0,1143310,5818260,0,0,282500,0,0,300000,86253,0,0
A10020992,202606,11140653,0,0,0,0,0,0,1045610,5442920,80,3988290,277500,0,0,300000,86253,0,0
A11041001,202601,43900284,0,0,0,0,0,0,9195553,23554330,1178930,6451970,640000,0,246430,817500,1815570,0,0
A11041001,202602,38086576,0,0,0,0,0,0,7978419,18797100,1276085,6528180,642500,0,217120,831600,1815570,0,0
A11041001,202603,37895764,0,0,0,0,0,0,6672213,20312470,1116720,6235290,645000,0,246700,851800,1815570,0,0
A11041001,202604,36538064,0,0,0,0,0,0,6367095,18358080,1269000,6638010,647500,0,206010,1036800,1815570,200000,0
A11041001,202605,39942928,0,0,0,0,0,0,6315670,22038520,1285920,6643080,645000,0,232570,766600,1815570,200000,0
A11041001,202606,49663580,0,0,0,0,0,0,8070480,29422160,1362060,6643070,645000,0,253910,1019830,1815570,431500,0
A10027162,202601,1412458,0,0,0,0,0,0,1287870,0,18665,0,30000,0,13954,0,61969,0,0
A10027162,202602,1417181,0,0,0,0,0,0,1309480,0,0,0,32500,0,13954,0,61247,0,0
A10027162,202603,1031394,0,0,0,0,0,0,901800,0,21893,0,32500,0,13954,0,61247,0,0
A10027162,202604,892521,0,0,0,0,0,0,784820,0,0,0,32500,0,13954,0,61247,0,0
A10027162,202605,608782,0,0,0,0,0,0,478230,0,20351,0,35000,0,13954,0,61247,0,0
A10027162,202606,722721,0,0,0,0,0,0,620020,0,0,0,27500,0,13954,0,61247,0,0
A10023586,202601,18517984,0,0,0,0,0,0,3349214,10585590,0,3155710,397500,138830,289130,200000,402010,0,0
A10023586,202602,15435165,0,0,0,0,0,0,2561375,8558880,0,2813920,397500,138830,262650,200000,402010,100000,0
A10023586,202603,16244993,0,0,0,0,0,0,2002118,9529720,0,3250040,397500,138830,262240,200000,402010,62535,0
A10023586,202604,15000289,0,0,0,0,0,0,1664309,8795170,0,3137620,395000,138830,267350,200000,402010,0,0
A10023586,202605,18525008,0,0,0,0,0,0,2092719,11686600,0,3314200,397500,138830,293150,200000,402010,0,0
A10023586,202606,22783832,0,0,0,0,0,0,2959972,15059790,0,3241720,397500,138830,313010,271000,402010,0,0
A11052201,202601,36368408,0,0,0,0,30490,0,2943440,23327570,790900,5674840,935000,642630,0,1030000,993540,0,0
A11052201,202602,40107500,0,0,0,0,73890,0,3538450,23316580,2341390,6330480,937500,642630,0,1030000,993540,903040,0
A11052201,202603,35651408,0,0,0,0,7760,0,3613810,17985280,820250,8122290,932500,642630,0,1196660,993540,1336690,0
A11052201,202604,36095860,0,0,0,0,2910,0,2332690,20011310,536750,7296510,940000,643070,0,1780000,993540,1559080,0
A11052201,202605,34085320,0,0,0,0,0,0,2944410,17511540,774880,8222130,937500,642670,0,1908650,993540,150000,0
A11052201,202606,38275192,0,0,0,0,0,0,2820390,19856580,844870,8148780,940000,642670,0,2510000,993560,1518340,0
A11076701,202601,7452210,0,0,0,0,0,0,1286030,5264170,0,0,197500,0,76680,360000,267830,0,0
A11076701,202602,10494440,0,0,0,0,0,0,1590210,4867080,3492900,0,202500,0,74880,0,266870,0,0
A11076701,202603,5889547,0,0,0,0,0,0,1645477,3242880,0,0,205000,0,70460,459000,266730,0,0
A11076701,202604,9703300,0,0,0,0,0,0,1377690,3907970,3754700,0,202500,0,63710,130000,266730,0,0
A11076701,202605,5843800,0,0,0,0,0,0,1253310,3618010,0,0,202500,0,74250,429000,266730,0,0
A11076701,202606,11138915,0,0,0,0,0,0,1285275,4814320,4484120,0,205000,0,83470,0,266730,0,0
A10021626,202601,15277640,0,0,0,0,0,0,9865540,0,4848390,0,272500,109030,182180,0,0,0,0
A10021626,202602,10784230,0,0,0,0,0,0,10219930,0,0,0,272500,109030,182770,0,0,0,0
A10021626,202603,13672110,0,0,0,0,0,0,8362260,0,4762880,0,272500,109030,165440,0,0,0,0
A10021626,202604,8999130,0,0,0,0,0,0,8458000,0,0,0,272500,109030,159600,0,0,0,0
A10021626,202605,13138620,0,0,0,0,0,0,7923630,0,4651310,0,272500,109030,182150,0,0,0,0
A11054101,202601,42355040,0,0,0,0,0,0,6499270,22268700,830,9026070,1180000,231000,525690,1084000,1281680,257800,0
A11054101,202602,44305920,0,0,0,0,0,0,7087640,22886460,-910,9281180,1175000,231000,530070,1538000,1281680,295800,0
A11054101,202603,35170792,0,0,0,0,0,0,4781060,17868340,-920,8162960,1172500,231000,524410,800000,1281520,349920,0
A11054101,202604,36913288,0,0,0,0,0,0,4831900,18609510,-1110,9279350,1175000,231000,552540,830000,1036860,368240,0
A11054101,202605,34559840,0,0,0,0,0,0,4417960,17014160,0,9030720,1182500,231000,632530,754000,1036860,260110,0
A11054101,202606,38117680,0,0,0,0,0,0,5252420,19148950,0,9637650,1180000,231000,677010,750000,1036860,203790,0
A11054301,202601,34687040,0,0,0,0,0,0,6791490,22776970,936740,0,1257500,374500,589340,735800,1224700,0,0
A11054301,202602,33107950,0,0,0,0,0,0,4461710,24001150,136920,0,1257500,374500,579870,1071600,1224700,0,0
A11054301,202603,26461530,0,0,0,0,0,0,3890560,18257240,136910,0,1257500,374500,584320,735800,1224700,0,0
A11054301,202604,28375110,0,0,0,0,0,0,4364020,18749360,1142070,0,1247500,374500,536560,736400,1224700,0,0
A11054301,202605,27639370,0,0,0,0,0,0,3650020,17959340,1142060,0,1252500,374500,638490,735800,1224700,661960,0
A11054301,202606,31812650,0,0,0,0,0,0,3806220,22923640,427500,0,1255000,374500,683590,734500,1224700,383000,0
A11077101,202601,54036668,0,0,0,0,0,0,7621987,37714088,1489420,0,1827500,0,1059070,853000,2521600,950000,0
A11077101,202602,45741104,0,0,0,0,0,0,5778925,30856710,2526630,0,1827500,0,1041990,852000,2521600,335750,0
A11077101,202603,44729772,0,0,0,0,0,0,5622731,32809180,0,0,1827500,0,1071760,877000,2521600,0,0
A11077101,202604,39243480,0,0,0,0,0,0,4222942,28754990,58740,0,1810000,0,1012210,863000,2521600,0,0
A11077101,202605,41981808,0,0,0,0,0,0,5072277,30564240,0,0,1795000,0,1162890,866000,2521400,0,0
A11077101,202606,47064084,0,0,0,0,0,0,5043598,34517648,1494845,0,1805000,0,1303900,850000,2049090,0,0
A10024713,202601,3428720,0,0,0,0,0,0,1392390,0,1750070,0,0,82120,103540,0,100600,0,0
A10024713,202602,3542310,0,0,0,0,0,0,1440580,0,1717740,0,0,82120,123340,77930,100600,0,0
A10024713,202603,3015380,0,0,0,0,0,0,834840,0,1871340,0,0,82120,126480,0,100600,0,0
A10024713,202604,2914100,0,0,0,0,0,0,821670,0,1794550,0,0,82120,115160,0,100600,0,0
A10024713,202605,3002070,0,0,0,0,0,0,730420,0,1948150,0,0,82120,140780,0,100600,0,0
A11055002,202601,33594216,0,0,0,0,0,322420,5952727,18790910,570880,5899480,667500,265360,0,503900,621040,0,0
