단지코드,발생년월(YYYYMM),공용관리비계,인건비,제사무비,제세공과금,피복비,교육훈련비,차량유지비,그밖의부대비용,청소비,경비비,소독비,승강기유지비,지능형네트워크유지비,수선비,시설유지비,안전점검비,재해예방비,위탁관리수수료
A10021295,202601,2.980594E7,0,0.0,0,0,0,0,0,4484280,7602810,220850,970200,0,0,0,0,0,243290
A10021295,202602,3.0113643E7,0,0.0,0,0,0,0,0,4484280,7602810,220850,970200,0,0,0,0,0,243290
A10021295,202603,2.9739742E7,0,0.0,0,0,0,0,0,4379750,7602810,220850,970200,0,0,0,0,0,243290
A10021295,202604,2.9565205E7,0,0.0,0,0,0,0,0,4432020,7602810,220850,970200,0,0,0,0,0,243290
A10021295,202605,2.9444879E7,0,0.0,0,0,0,0,0,4432020,7602810,220850,970200,0,0,0,0,0,243290
A10021652,202601,5.553166E7,13449330,539590.0,16352280,0,128230,0,69140,7476380,12141020,160070,2028150,0,2997970,0,0,0,189500
A10021652,202602,5.569668E7,13536380,294980.0,16852060,0,83810,0,222590,7532290,12141020,160070,2028150,0,2655830,0,0,0,189500
A10021652,202603,3.957734E7,13613300,238280.0,300530,0,169790,0,329480,7599750,12141020,160070,2028150,0,2715280,0,92190,0,189500
A10021652,202604,3.962943E7,13967140,220680.0,600650,0,0,0,225570,7598340,12141020,160070,2028150,0,2498310,0,0,0,189500
A10021652,202605,3.89313E7,14125650,240960.0,126880,0,0,0,240220,7424720,12141020,160070,2028150,0,2254130,0,0,0,189500
A10021652,202606,3.850769E7,13617340,382190.0,96260,0,0,0,151670,7572610,12227660,160070,2028150,0,2082240,0,0,0,189500
A11007001,202601,5.8167378E7,24905820,268400.0,78410,0,0,0,362330,10361000,18540518,330000,1020250,0,1805650,0,0,0,495000
A11007001,202602,5.7964172E7,25273264,204600.0,79960,0,66000,0,300740,10361000,18540518,330000,1020250,0,1292840,0,0,0,495000
A11007001,202603,5.7909852E7,25273264,204600.0,72470,0,60000,0,273990,10361000,18540518,330000,1020250,0,1278760,0,0,0,495000
A11007001,202604,5.7332806E7,24359528,219900.0,87590,0,18000,0,397230,10361000,18540518,330000,1020250,0,1503790,0,0,0,495000
A11007001,202605,5.7488274E7,24283836,204600.0,130940,293700,18000,0,331240,10361000,18540518,330000,1020250,0,1479190,0,0,0,495000
