단지코드,시도,발생년월(YYYYMM),장충금 월부과액,장충금 월사용액,장충금 총적립금액,장충금 적립률,잡수입 월수입금액,입주자기여수익,공동기여수익
A10021295,서울특별시,202601,4168125,0,534626816,0,1404203,0,0
A10021295,서울특별시,202602,4168125,0,538879936,0,1251537,0,0
A10021295,서울특별시,202603,4168125,0,543048064,0,5359426,0,0
A10021295,서울특별시,202604,4168125,0,547216192,0,1943093,0,0
A10021295,서울특별시,202605,4168125,0,551384320,0,1840757,0,0
A10021652,서울특별시,202601,4849400,3149300,1064323520,0,13531780,0,0
A10021652,서울특별시,202602,4849400,0,1097931648,0,4364813,0,0
A10021652,서울특별시,202603,5786300,0,1103735552,0,7812101,0,0
A10021652,서울특별시,202604,5786300,0,1127857408,0,33578612,0,0
A10021652,서울특별시,202605,5786300,0,1135016448,0,8693305,0,0
A10021652,서울특별시,202606,5786300,0,1140825216,100,7408341,0,0
A11007001,서울특별시,202601,4798950,437250,595970176,0,4319281,2763882,1555399
A11007001,서울특별시,202602,4798950,437250,607521152,0,1302950,0,1302950
A11007001,서울특별시,202603,4798950,437250,611882880,0,1440050,0,1440050
A11007001,서울특별시,202604,4798950,437250,624501440,0,20749122,9759892,10989230
A11007001,서울특별시,202605,4798950,1317250,627983168,0,1254508,0,1254508
A11007001,서울특별시,202606,4798950,2499390,630339392,0,4602256,67021,4535235
A11005401,서울특별시,202601,44824904,2728000,2096992128,3.6,9069563,1144180,7925383
A11005401,서울특별시,202602,44824904,481800,2141335168,3.6,15477961,1080000,14397961
A11005401,서울특별시,202603,44824904,21890000,2.29E+09,3.6,49822744,39415060,10407682
A11005401,서울특별시,202604,44824904,2233000,2.28E+09,3.6,9587120,1123793,8463327
A11005401,서울특별시,202605,44824904,3454000,2.32E+09,3.6,7960279,1122485,6837794
A11005401,서울특별시,202606,44824904,8380900,2.36E+09,3.6,10601831,1131511,9470320
A11034001,서울특별시,202601,1829840,0,885335488,2.35,13032444,1500000,11532444
A11034001,서울특별시,202602,19829840,0,906995136,2.35,12794860,1500000,11294860
A11034001,서울특별시,202603,1836907,0,908832064,2.35,16982968,1500000,15482967
A11034001,서울특별시,202604,1829840,0,915999488,2.35,22537434,1500000,21037434
A11034001,서울특별시,202605,1829840,440000,917389376,2.35,14744484,1500000,13244484
A11034001,서울특별시,202606,1829840,0,924241664,2.35,22648496,1500000,21148496
A10020992,서울특별시,202601,5000000,2400000,76998264,0,1016597,500000,516597
A10020992,서울특별시,202602,5000000,924000,111074264,0,3386950,500000,2886950
A10020992,서울특별시,202603,5000000,600000,115480896,0,1350774,500000,850774
A10020992,서울특별시,202604,5000000,0,120480896,0,1705777,500000,1205777
A10020992,서울특별시,202605,5000000,0,125480896,0,4531360,500000,4031360
A10020992,서울특별시,202606,5000000,3322000,127162320,0,821778,500000,321778
A11041001,서울특별시,202601,6809821,0,712011392,0,6005383,0,6005383
A11041001,서울특별시,202602,6809821,0,728027840,0,4473593,0,4473593
A11041001,서울특별시,202603,7626986,0,735654848,0,3879294,0,3879294
A11041001,서울특별시,202604,7626986,201725760,541556096,0,4702188,0,4702188
A11041001,서울특별시,202605,7626986,0,549183040,0,4498732,0,4498732
A11041001,서울특별시,202606,7774404,0,556957440,0,29161160,0,29161160
A10027162,서울특별시,202601,1787000,0,116413424,100,1637911,0,0
A10027162,서울특별시,202602,1787000,0,121785912,0,5279932,0,0
A10027162,서울특별시,202603,1787000,0,123581320,100,1689573,0,0
A10027162,서울특별시,202604,1787000,0,125368320,100,1477629,0,0
