시도	시군구	동리	단지코드	단지명	단지분류	법정동주소	도로명주소	분양형태	사용승인일	동수	세대수	분양세대수	임대세대수	관리방식	난방방식	복도유형	시공사	주택관리업자
서울특별시	마포구	염리동	A10019997	염리동 중앙하이츠 A.P.T	아파트	서울특별시 마포구 염리동 161-1 염리동 중앙하이츠 A.P.T		분양	19981219	1	114	114	0	자치관리	개별난방	혼합식	중앙건설	 
서울특별시	동대문구	이문동	A10020006	이문아이파크자이3단지	아파트	서울특별시 동대문구 이문동 419-1 이문아이파크자이3단지		분양	20260625	7	152	152	0	위탁관리	개별난방	계단식	현대산업개발	(주)케이비아주
서울특별시	서초구	잠원동	A10020027	오티에르신반포	아파트	서울특별시 서초구 잠원동 49-17 오티에르신반포		분양	20260624	2	178	178	0	위탁관리	지역난방	계단식	포스코이앤씨	우리관리(주)
서울특별시	강동구	암사동	A10020036	한솔 솔파크 더리버 아파트	아파트	서울특별시 강동구 암사동 518 한솔 솔파크 더리버 아파트		분양	20090810	3	127	127	0	위탁관리	개별난방	계단식	한솔건설	한국에셋솔루션(주)
서울특별시	서초구	잠원동	A10020044	오티에르반포	아파트	서울특별시 서초구 잠원동 59-10 오티에르반포		분양	20260605	2	251	251	0	위탁관리	지역난방	계단식	포스코이앤씨	우리관리(주)
서울특별시	은평구	신사동	A10020045	은평자이더스타	도시형 생활주택(주상복합)	서울특별시 은평구 신사동 19-100 은평자이더스타		혼합	20260527	2	262	227	35	위탁관리	개별난방	복도식	GS건설	제일에스테이트서비스 주식회사
서울특별시	금천구	시흥동	A10020046	탑스빌	아파트	서울특별시 금천구 시흥동 268-46 탑스빌		분양	20021206		148	148	0		개별난방		 	(주)아림주택관리
서울특별시	노원구	공릉동	A10020049	태릉현대홈타운스위트	연립주택	"서울특별시 노원구 공릉동 121,서울특별시 노원구 공릉동 121-,서울특별시 노원구 공릉동 115- 태릉현대홈타운스위트"		분양	20040206	10	134	134	0	위탁관리	개별난방	계단식	현대건설	우리관리(주)
서울특별시	광진구	구의동	A10020066	리마크빌 구의	주상복합	"서울특별시 광진구 구의동 683,서울특별시 광진구 구의동 683- 리마크빌 구의"		임대	20251218	1	439	0	439	위탁관리	개별난방	복도식	한양개발	주식회사 케이에스메이트
서울특별시	송파구	가락동	A10020074	더샵송파루미스타	아파트	서울특별시 송파구 가락동 161-3 더샵송파루미스타		분양	20260508	4	179	179	0	위탁관리	지역난방	계단식	포스코이앤씨	(주)케이티팝스
